borrower_id,income,employment_status,credit_score,debt_to_income_ratio,loan_amount_requested,age,education_level,marital_status,num_of_credit_inquiries,credit_history_length,loan_id,loan_type,loan_amount,interest_rate,loan_term,collateral_value,loan_to_value_ratio,repayment_schedule,current_balance,num_of_late_payments,interest_rate_change,unemployment_rate,inflation_rate,gdp_growth_rate,housing_market_index,utility_payment_history,rental_payment_history,social_media_activity_score,spending_behavior_score,fraud_score,inconsistent_application_data,geo_location_mismatch,customer_lifetime_value,cross_product_ownership,customer_satisfaction_score
16,41565.68706,Employed,798,0.437459866,17012.94059,37,High School,Married,9,1,16,Personal,15189.55253,14.45887531,19,59694.14408,0.61547018,Annually,8485.67082,1,0.383985044,9.767093495,1.689117776,3.664487806,313.866702,0.62402094,0.018349876,95.06244693,57.53245787,0.793927275,0,0,39388.33799,0,2.628997988
17,34807.53319,Unemployed,839,0.492477012,1529.743098,41,Bachelor's,Widowed,6,21,17,Mortgage,29282.78757,10.66038911,315,32819.99892,0.549218775,Quarterly,477.9093074,0,0.505897199,7.829462139,9.279112298,4.095515908,269.013342,0.208285586,0.361059698,14.81412177,70.23514609,0.27587988,0,0,2415.520441,3,44.31019025
18,54713.70999,Retired,790,0.41725715,41501.00264,44,High School,Single,7,20,18,Business,4228.716087,9.202578962,352,3024.46306,0.989710257,Quarterly,11856.58012,4,-0.697035774,14.60419187,5.773696192,-2.827212212,213.6903403,0.793938707,0.019432672,99.35649994,85.40154152,0.508027316,0,0,39261.5199,3,58.74302869
19,36379.63887,Retired,741,0.441513969,40248.05432,55,PhD,Married,7,2,19,Personal,10373.16868,14.26600065,54,75139.95299,0.648012276,Annually,11751.43936,1,-0.198821285,10.33596904,4.570677741,3.31006789,461.6431622,0.948162805,0.997092018,64.4272866,95.85531853,0.564023794,1,0,26522.97524,4,95.69986731
20,28815.44448,Retired,560,0.196790852,6118.271387,25,Master's,Divorced,0,25,20,Auto,20962.85831,7.479651143,255,21867.98975,0.935445895,Monthly,21100.26254,0,-0.034365011,11.74278254,5.815262915,2.088571132,173.9059954,0.891103144,0.122196762,56.74941995,48.98864403,0.943108068,0,0,19155.93731,1,57.39230269
21,71984.73153,Unemployed,649,0.48425079,29266.01168,18,PhD,Widowed,7,3,21,Auto,46910.51344,9.590463145,192,83530.13747,0.502063577,Annually,46019.49158,3,-0.28862522,7.139794148,6.654639056,4.627865088,372.5462302,0.321435745,0.542810896,51.52796241,56.15757366,0.266597577,1,0,48303.76584,4,15.87491933
22,46613.35549,Retired,651,0.178770282,23735.10321,71,Master's,Married,5,15,22,Auto,19485.3473,7.930566962,96,42318.88088,0.510512404,Monthly,43959.24589,2,-0.355774808,11.03939017,9.29690914,0.712618284,469.857885,0.406005773,0.790556239,2.36543731,41.56415666,0.936688239,1,0,8845.857815,0,51.75418053
23,51012.92307,Unemployed,819,0.480571924,6816.74568,66,Bachelor's,Single,3,24,23,Business,33539.63194,14.09342399,166,57919.20554,0.732935654,Quarterly,22844.72775,4,0.372839788,6.093571946,2.608236571,-4.148328333,315.4679839,0.8084023,0.201263602,93.96391915,7.198193706,0.804858915,1,0,27524.93084,4,39.57839472
24,28628.77721,Retired,619,0.497927718,49047.84313,66,Master's,Married,7,6,24,Auto,13499.2739,2.527143811,286,87358.39868,0.619357342,Monthly,20544.99525,1,-0.568267205,5.94116301,3.659972488,0.973988912,450.5633954,0.595117131,0.485052668,64.39944729,42.28034724,0.730894054,0,0,16728.09221,2,47.93555676
25,41834.25913,Unemployed,437,0.384689122,11520.09849,41,High School,Widowed,2,13,25,Auto,7224.645223,8.265115961,34,86430.48859,0.844920642,Quarterly,27750.45432,3,0.418781491,11.57666642,9.782104027,1.86580928,149.9405914,0.547914444,0.607428761,9.16264845,79.06273394,0.786870269,0,0,26846.83256,1,19.70970147
26,51663.83885,Self-employed,849,0.492457493,4294.474824,64,High School,Single,3,21,26,Personal,3868.293404,10.77385796,126,37466.19774,0.782782163,Monthly,12172.7006,2,0.870088393,9.256736835,4.34073688,-2.796789713,297.5155081,0.926641968,0.160204754,2.095217029,80.4885498,0.605425046,1,0,28061.49718,1,50.08270423
27,32735.09634,Self-employed,667,0.327815912,30147.5216,24,High School,Widowed,5,1,27,Personal,15965.26143,12.19073827,317,21284.44483,0.538742899,Quarterly,2609.249598,2,0.130395042,11.19931933,1.203054857,-1.058866165,282.8101122,0.536024961,0.77855546,5.078363924,89.23771146,0.24408001,0,0,5382.964173,3,15.00397643
28,55635.47028,Self-employed,519,0.203816713,37204.46718,36,Master's,Married,6,20,28,Auto,8725.390313,9.37075174,310,77627.03473,0.581314148,Quarterly,46961.20681,3,0.222868473,6.233261889,2.328791434,0.985034141,103.2475228,0.51493868,0.299336457,60.93957634,5.146670518,0.189494969,0,0,33395.6222,4,74.40430807
29,40990.41965,Self-employed,636,0.274798354,2589.728856,39,High School,Divorced,3,19,29,Auto,9526.511953,13.77038955,110,43591.48026,0.694024635,Annually,9334.949244,1,-0.862134596,10.18468009,1.237048316,-1.258942627,277.3029365,0.042018591,0.211023076,61.40154149,52.71545896,0.866341436,0,1,32089.5933,3,59.39062602
30,45624.59375,Self-employed,522,0.337424374,33277.1643,74,High School,Divorced,3,1,30,Personal,38277.20611,14.21688453,115,19608.17836,0.592802032,Quarterly,9920.036462,2,0.728953807,8.327203796,9.909308282,-1.250522828,247.6119026,0.069416959,0.558288746,49.96672918,10.74244879,0.725139403,0,0,38703.89646,4,7.852769159
31,40974.40082,Retired,659,0.129232625,27082.30192,72,High School,Married,6,28,31,Mortgage,1776.065476,2.368309513,62,90490.32156,0.896111174,Annually,23623.01644,4,-0.429104426,10.16352344,3.509837641,-3.669133608,367.9194911,0.007420308,0.410313628,30.67658207,20.07421832,0.213204283,0,0,5442.266189,4,88.96144679
32,77784.17277,Retired,628,0.348937306,6059.985435,52,Bachelor's,Married,5,21,32,Business,28332.69616,6.932002284,123,20211.36733,0.708035118,Annually,24580.66724,0,0.230102331,6.490556787,9.311884812,4.407467231,475.3319114,0.913244226,0.920285945,53.17427316,90.02165024,0.615093366,0,0,15565.6688,0,61.63796046
33,49797.54163,Retired,762,0.492471135,9453.66997,47,Master's,Married,7,22,33,Business,19593.60765,1.816696793,255,3067.813235,0.546715933,Annually,921.710485,4,0.958224339,11.58541156,9.962976482,2.504943845,134.3164353,0.40838666,0.880062698,51.63018209,49.67912584,0.447546481,0,0,32855.41939,4,31.61070551
34,34134.33607,Unemployed,681,0.17604306,28830.74057,46,Master's,Single,0,2,34,Personal,25820.95,5.947124875,180,2517.85739,0.742171451,Monthly,7397.736939,2,0.191005201,12.67115239,6.39857099,-4.987565611,230.9905547,0.468561376,0.483350663,1.941555988,75.85449209,0.15865517,0,0,7699.81047,3,4.564239953
35,62338.17368,Unemployed,468,0.417038047,15521.52306,39,PhD,Widowed,9,15,35,Business,28578.68162,8.747720943,83,62420.37797,0.545419091,Monthly,18907.74093,0,0.449418975,6.118997686,1.298766836,2.65613284,277.625895,0.845386948,0.359263775,28.24692303,6.438410593,0.531857109,0,0,34202.31233,4,63.22266958
36,31687.34525,Unemployed,516,0.463159518,46977.4707,28,Master's,Widowed,6,14,36,Personal,16355.01703,13.79573156,150,66336.66854,0.564468653,Quarterly,34186.53468,3,-0.109360764,6.607446718,1.734324673,2.397949927,282.0741512,0.60924631,0.325517982,5.318534147,41.68265039,0.281519092,0,0,3892.30883,4,37.34402613
37,53132.95393,Unemployed,677,0.477480637,41118.27124,37,Bachelor's,Widowed,6,19,37,Personal,15460.33415,12.92848335,347,31448.64965,0.619804916,Annually,11420.92284,0,-0.879268313,10.93385124,5.334301496,-4.902690398,409.9238883,0.609501596,0.267563623,90.01547514,67.42402807,0.096244124,0,0,17411.6461,1,90.76181049
38,20604.94814,Self-employed,418,0.484054242,49194.79312,46,Master's,Married,6,11,38,Personal,36936.69062,3.22124631,242,32341.09343,0.929763853,Annually,21150.72231,0,0.595198699,11.34702209,4.655548116,-1.303957024,277.3582663,0.296534429,0.544547854,72.52231628,13.34064813,0.466958299,0,0,42488.84499,1,3.487783271
39,30077.20927,Self-employed,489,0.308583855,13723.87111,68,Bachelor's,Widowed,6,15,39,Personal,43692.57242,2.755910059,250,34279.64455,0.962306266,Quarterly,27867.25324,0,-0.930002317,11.44919621,6.455595752,1.067476903,110.8645206,0.833908374,0.804978605,99.61151702,32.58178791,0.590108552,0,0,38940.27323,1,3.910243534
40,52952.91854,Self-employed,669,0.490923163,48516.45801,58,Bachelor's,Married,9,6,40,Mortgage,10436.49999,9.455109073,264,68175.7754,0.913128865,Annually,44429.62473,2,0.401315658,11.19238206,4.949630287,-0.472493481,384.0416378,0.165829976,0.310756608,30.21712633,6.454780502,0.04690641,0,0,32593.27505,2,94.92992869
41,61076.9987,Employed,448,0.402924083,22130.45962,59,Master's,Single,9,20,41,Auto,5783.319266,8.683592628,60,6284.312207,0.667038609,Quarterly,16303.52512,1,-0.954156854,7.713692603,9.406691643,2.779861187,453.9318781,0.053149592,0.19009409,87.84858478,65.13399409,0.402092749,0,0,43652.46241,1,96.48739457
42,52570.52422,Retired,787,0.164668574,18028.42097,51,PhD,Divorced,7,9,42,Auto,44991.99451,5.096098159,314,92947.07709,0.636223221,Annually,6677.913293,2,0.724610473,7.738244093,5.812657439,-0.745416674,305.561885,0.191603358,0.475483806,60.30542679,97.08912591,0.25766192,0,0,35754.20766,2,2.774222677
43,48265.27576,Unemployed,673,0.290760043,3467.126821,18,High School,Married,8,5,43,Mortgage,18144.87772,13.64261664,83,22640.8439,0.774577845,Monthly,24463.61129,1,-0.684727928,6.057811484,7.243534553,-3.461370305,332.4434087,0.267737219,0.069034417,45.31254069,82.70454911,0.030650591,0,0,26449.38016,2,71.60332349
44,45483.44457,Unemployed,459,0.38733247,3585.497635,48,High School,Married,8,20,44,Business,28014.55214,14.01944653,274,99967.48392,0.86092658,Quarterly,37336.08008,3,0.028542991,4.882004399,9.068367454,4.764156243,165.1745756,0.282311058,0.701279006,22.25731113,97.46231168,0.12566255,0,0,49006.15752,3,22.14948523
45,27822.17014,Self-employed,650,0.198936126,34908.55154,47,Master's,Divorced,1,2,45,Business,18617.61408,6.935254418,333,17566.50803,0.996686394,Quarterly,5492.987853,3,0.194301409,11.31092855,2.321846882,-2.579600072,188.2583779,0.670513599,0.518358266,73.83921653,84.56047951,0.139034159,0,0,35047.94791,1,70.13927663
46,39202.33687,Unemployed,587,0.356246073,23438.52073,65,Master's,Divorced,6,6,46,Auto,7164.314481,13.51908452,233,77268.8725,0.565785356,Monthly,21234.17458,3,-0.084909185,4.118265432,3.067611887,2.176923105,194.0680956,0.217824587,0.496374808,90.41407489,85.51958062,0.182874248,1,1,30466.99166,4,86.87327967
47,43090.41844,Unemployed,587,0.366640192,12099.55968,35,Bachelor's,Single,6,26,47,Business,29877.2506,6.683310073,88,22729.54822,0.524646,Quarterly,889.2570631,3,-0.318473021,14.25350744,1.965867944,-3.568436883,272.29679,0.676658304,0.30044538,23.53083981,57.71771954,0.803377571,0,1,21034.65749,0,10.08314789
48,65856.83339,Retired,525,0.165079898,31084.54501,72,Master's,Widowed,3,18,48,Auto,26731.90174,11.44702723,73,8544.256764,0.847177944,Monthly,1677.959082,3,-0.064371408,12.92023564,2.256745593,-1.709873862,471.2580884,0.091132173,0.904673438,17.5390335,51.82523114,0.439491866,0,0,45218.21243,4,23.87664168
49,55154.27434,Self-employed,822,0.326034125,13390.04779,34,Bachelor's,Married,8,28,49,Auto,10946.6844,7.925219937,168,87555.86577,0.916112892,Annually,24147.66816,4,-0.377168492,13.29006888,5.613255702,-0.579723916,308.7139067,0.147202461,0.090486292,69.6221915,40.62542664,0.147085992,0,0,15489.74568,1,2.407766833
50,23554.39767,Retired,821,0.408650764,29303.95596,55,PhD,Widowed,7,29,50,Mortgage,23141.58319,3.154872613,305,85945.75029,0.92317439,Monthly,14909.86491,2,-0.123755306,13.88002578,3.890613331,-3.077679955,176.8390581,0.508821448,0.869824009,97.69731627,81.8094895,0.100296967,0,0,1451.760116,4,4.382984544
51,54861.25954,Employed,572,0.299558266,18601.2286,31,Master's,Married,0,23,51,Business,40050.4277,14.02711172,136,40655.25405,0.839231775,Monthly,42255.36495,1,-0.282174018,7.903259649,4.808555556,-0.500404236,206.4350943,0.921895803,0.376705202,74.99551011,18.20676123,0.297940459,1,0,10640.2856,1,2.961785822
52,44223.76579,Employed,701,0.104841247,41354.0591,40,High School,Single,1,19,52,Mortgage,29930.87905,7.630304011,240,70388.41618,0.977007902,Quarterly,30107.71531,3,0.132409647,13.16040868,9.842408486,-3.42837177,253.6060119,0.859567589,0.880623516,28.4580739,5.622491582,0.798015519,0,0,6366.357105,1,80.06823564
53,39846.17,Employed,482,0.103615388,41214.11188,42,High School,Divorced,1,9,53,Auto,5748.949026,11.41557504,351,55928.0603,0.755502382,Annually,22696.64809,4,-0.524151676,4.896735603,2.41033913,0.59006539,349.3035903,0.968753442,0.728761458,41.99554241,94.78938227,0.364459848,0,0,16630.69493,4,29.82926784
54,59175.14433,Self-employed,787,0.242811738,24390.16951,32,Master's,Single,7,27,54,Auto,27853.05336,6.456846495,172,85369.13331,0.956907399,Monthly,20396.76855,4,0.97731311,3.259701535,5.867308637,1.637132525,276.0132612,0.650479065,0.104170727,38.43176355,0.37781852,0.15989736,0,0,41468.0552,2,49.32114396
55,65464.99284,Unemployed,423,0.470477627,18190.13636,63,Bachelor's,Divorced,0,21,55,Auto,35434.17667,1.754891861,40,31848.06895,0.983906068,Annually,24862.27401,4,0.001739907,12.41869674,1.889840395,-4.37565716,256.9779377,0.675814866,0.831536287,85.2095018,97.68293219,0.404116182,0,0,32924.95458,3,78.78442636
56,63969.20179,Self-employed,713,0.191470712,18765.43003,73,High School,Widowed,3,24,56,Personal,39842.46688,2.857159842,125,52605.4038,0.923578729,Monthly,2021.941561,2,-0.611675845,3.897559776,3.866466819,3.711321211,325.8914402,0.625022999,0.682176834,77.13707789,72.88533699,0.555311557,0,0,9280.048872,3,49.49436627
57,37411.73715,Self-employed,471,0.353745476,40480.01176,39,Bachelor's,Widowed,9,27,57,Personal,31826.76135,8.198962973,90,48794.55093,0.654879282,Quarterly,44639.66782,3,-0.045866501,14.86229601,5.747733313,-3.14859115,196.733998,0.622818923,0.032301913,58.89754348,32.84989197,0.029584184,0,0,39652.26433,3,42.91960626
58,45361.81436,Unemployed,587,0.188830348,17080.79466,20,Master's,Single,4,6,58,Personal,8480.250062,10.81451882,34,35713.62971,0.598107826,Monthly,49915.15779,4,0.732830259,11.09755716,9.519685714,-2.746375747,131.561309,0.147120345,0.133702682,27.49591104,69.78198431,0.627641801,0,0,25706.77344,3,1.157320649
59,54968.95147,Retired,734,0.228667996,11243.90931,73,Master's,Divorced,8,14,59,Mortgage,35798.49006,6.018926909,117,89199.77892,0.774060032,Monthly,9074.356243,4,-0.956386414,12.04139652,4.521053992,1.613498401,109.7657259,0.543738956,0.635628056,93.79885277,81.78751572,0.395100753,0,0,26123.01658,0,56.80395025
60,64633.17691,Employed,412,0.439216836,5149.728752,72,High School,Single,6,28,60,Auto,34189.75046,10.8890942,142,17004.8535,0.726507375,Annually,6019.148239,3,0.359108238,5.949646275,1.584160266,-0.312489396,200.5036654,0.386067933,0.662600503,65.33152248,24.5362056,0.009725875,0,0,18743.49687,1,12.47430781
61,42812.38643,Retired,421,0.391544577,23867.96292,36,Master's,Divorced,7,26,61,Business,2196.917264,10.93158046,184,15376.10963,0.938879171,Monthly,7178.873172,2,0.095935594,11.08638473,4.493453032,-0.006044008,136.6368137,0.442537216,0.746651433,97.04766464,77.08956833,0.673889399,0,0,43366.20188,0,76.46482408
62,47215.11535,Employed,843,0.138159711,24624.47285,74,PhD,Divorced,8,24,62,Mortgage,21175.63571,11.00313475,275,57902.49876,0.550015836,Quarterly,33051.35291,4,-0.660884011,3.518639247,2.311670583,-3.718450154,234.5362554,0.523600573,0.720245401,58.0117033,80.4369625,0.712387636,0,0,16598.03789,3,25.77377238
63,33404.97539,Self-employed,521,0.271480808,42204.52681,61,PhD,Widowed,6,29,63,Mortgage,17314.5621,8.149045029,353,65920.67588,0.628870031,Quarterly,33072.04192,1,0.634952879,13.05390864,3.06990652,3.057358219,409.1734161,0.128396172,0.659519955,82.11927584,24.93546301,0.628839789,0,0,5612.848273,3,67.41874108
64,32056.90064,Employed,338,0.111667905,11840.69613,51,High School,Widowed,4,13,64,Mortgage,33801.19115,13.85096303,296,19864.61581,0.875899472,Monthly,42396.20811,0,-0.262230755,5.035489116,6.562815608,1.170542461,386.5177322,0.359487734,0.766238902,81.31053794,4.192635438,0.341930218,0,1,15833.7207,4,64.62235278
65,62187.88734,Self-employed,796,0.292356059,19668.57241,52,PhD,Divorced,4,11,65,Business,11590.6548,8.104152993,13,39376.3855,0.547493322,Monthly,37591.31942,0,-0.412395942,11.3682968,1.606814796,-3.646179567,344.3710491,0.063449561,0.575085706,33.73287768,20.41222846,0.529604854,0,0,36052.32377,3,61.66756029
66,70343.60043,Retired,532,0.364973605,40611.88121,67,Bachelor's,Divorced,9,12,66,Auto,29952.72423,7.578580112,244,94683.10238,0.660382207,Annually,22484.48367,0,0.656250384,5.693766015,5.182513806,-1.26000633,441.0000976,0.97966813,0.260791386,96.4020723,20.06464089,0.387157706,0,0,33221.51245,1,26.69520075
67,48919.84818,Self-employed,829,0.147401049,41357.55693,18,High School,Divorced,5,19,67,Personal,45747.09213,4.191641057,262,25038.43356,0.693577697,Annually,30642.76808,2,0.277050092,3.821438033,6.485154274,3.104099327,212.8270498,0.118528029,0.912376614,2.19414676,6.524045418,0.70062173,0,0,10212.84052,3,26.70897772
68,65052.99347,Retired,448,0.215553976,19845.94272,69,High School,Widowed,4,19,68,Auto,40092.31624,5.653343679,332,67001.88986,0.811296898,Quarterly,34414.23352,4,0.796518167,8.777924143,4.796725531,0.68355046,454.0215012,0.258524739,0.018214031,76.87109088,72.60073847,0.583580186,0,0,6477.430656,3,86.30480434
69,55424.54038,Unemployed,696,0.25913465,23497.07714,38,Bachelor's,Widowed,8,21,69,Auto,46151.42907,2.071515649,119,74144.86467,0.579066323,Annually,25636.82351,0,0.259767407,5.031434523,1.172137156,-3.913512209,259.6956679,0.891292927,0.36656172,96.55570858,37.99749245,0.081799114,0,1,33382.42216,0,1.280733263
70,40323.20368,Unemployed,601,0.46781241,15861.00865,46,PhD,Married,2,27,70,Mortgage,48946.79238,10.05272646,287,45088.8056,0.930302245,Monthly,23782.54922,0,0.481635316,11.75332786,9.869674212,-1.272229542,260.3573273,0.482710046,0.728870293,33.89082033,88.43861675,0.643093558,0,0,34142.46495,1,18.15226335
71,55420.93408,Unemployed,659,0.497302006,46695.18904,23,PhD,Divorced,2,26,71,Mortgage,1522.836223,4.855232543,191,93783.83568,0.723771118,Quarterly,32254.87228,3,0.672891793,5.850790121,4.304041906,-2.573056015,262.1406455,0.135637202,0.427156041,64.81105878,25.21711057,0.687238414,0,0,18941.33222,2,61.01709176
72,73070.5485,Self-employed,537,0.11796452,6813.544521,54,PhD,Married,6,19,72,Mortgage,31514.32254,5.606095936,224,73797.34515,0.958510856,Annually,27873.72745,4,-0.890520728,7.109670675,8.007194682,0.174655537,139.2377465,0.384230538,0.024834407,56.22232498,45.32321651,0.370702181,0,0,42297.26779,4,81.70462544
73,49462.60941,Unemployed,535,0.404403169,46753.72173,18,High School,Divorced,6,24,73,Personal,21229.13049,11.90599604,304,46063.4957,0.733934957,Quarterly,32197.11527,4,0.552097918,9.809271015,3.93081843,3.433611289,490.1961993,0.115867994,0.065980903,76.15073097,63.90174289,0.875785781,0,0,48932.05499,2,35.83455087
74,73469.65484,Employed,502,0.248689627,34509.45614,68,High School,Widowed,5,26,74,Personal,43132.87003,5.917485973,83,57148.85258,0.637520129,Monthly,30642.7387,3,0.227412964,6.419619331,5.275150813,-0.637328652,155.4027111,0.200215997,0.648637369,86.61779216,87.74649497,0.843014355,0,0,11076.61595,0,65.34434586
75,10703.82344,Retired,555,0.256983274,27047.03548,18,PhD,Married,2,13,75,Personal,13338.9204,4.769644542,294,69415.03762,0.570914414,Annually,35959.82803,4,-0.860984407,7.535857395,4.496172783,-0.666579696,236.3542898,0.052029847,0.964864599,60.30445693,52.46211016,0.175166524,0,0,29276.36707,3,55.71564196
76,62328.53757,Retired,534,0.401705989,2600.293978,44,Master's,Married,6,28,76,Auto,49070.44497,3.782279613,186,59422.92295,0.501872547,Monthly,32140.17544,1,0.017155844,12.78746125,4.082853066,4.053509023,227.7201281,0.438227495,0.551863636,81.59045864,37.35246278,0.904266308,0,0,1261.970121,4,6.454010448
77,51305.70602,Employed,644,0.467370573,24304.2134,38,PhD,Single,4,14,77,Mortgage,31071.69051,11.96058843,134,87930.40959,0.766078742,Monthly,25987.12432,2,-0.835083844,5.150518195,1.196662395,0.761854125,129.8717731,0.806636122,0.506757818,31.22855759,86.70150785,0.440872371,0,0,35939.66541,1,62.17501969
78,45514.88974,Self-employed,833,0.480371438,20979.65715,70,Bachelor's,Divorced,6,24,78,Business,39883.33271,3.251034483,238,36010.4219,0.553578348,Quarterly,34089.84056,3,0.471894403,3.986419074,4.240188441,0.661910874,160.904052,0.585969179,0.318325213,22.85870587,31.02464247,0.723749653,0,0,21299.82356,4,81.39034723
79,51376.41165,Self-employed,765,0.330849034,8899.721787,33,High School,Widowed,1,18,79,Auto,5194.378088,7.625675763,312,30338.63114,0.695863882,Quarterly,22474.09826,0,0.093003428,6.940293422,9.005409914,-2.380901081,117.9433345,0.606345305,0.256690674,43.06676895,7.942369963,0.814097007,0,0,10470.19212,0,99.24483203
80,20186.46628,Retired,840,0.242848464,33164.07057,61,Bachelor's,Single,5,12,80,Personal,9989.436353,8.343556567,94,21776.9695,0.794635881,Quarterly,12083.5613,4,0.907147075,8.092521204,7.213540047,1.077227478,216.9617974,0.20058403,0.020984982,67.77365996,44.50421075,0.505112421,0,0,37858.87417,3,2.964007265
81,46704.92168,Unemployed,512,0.415019634,48586.39446,71,Bachelor's,Single,7,4,81,Business,38161.77998,10.77976382,264,4259.405322,0.637842948,Annually,70.9110067,1,-0.633729257,9.511911386,2.308805732,0.759104674,446.6627696,0.343893843,0.272954868,18.72469489,78.50933065,0.399101939,0,0,40721.79108,0,66.00581726
