borrower_id,income,employment_status,credit_score,debt_to_income_ratio,loan_amount_requested,age,education_level,marital_status,num_of_credit_inquiries,credit_history_length,loan_id,loan_type,loan_amount,interest_rate,loan_term,collateral_value,loan_to_value_ratio,repayment_schedule,current_balance,num_of_late_payments,loan_default
38,20604.94814,Self-employed,418,0.484054242,49194.79312,46,Master's,Married,6,11,38,Personal,36936.69062,3.22124631,242,32341.09343,0.929763853,Annually,21150.72231,0,1
39,30077.20927,Self-employed,489,0.308583855,13723.87111,68,Bachelor's,Widowed,6,15,39,Personal,43692.57242,2.755910059,250,34279.64455,0.962306266,Quarterly,27867.25324,0,0
40,52952.91854,Self-employed,669,0.490923163,48516.45801,58,Bachelor's,Married,9,6,40,Mortgage,10436.49999,9.455109073,264,68175.7754,0.913128865,Annually,44429.62473,2,0
41,61076.9987,Employed,448,0.402924083,22130.45962,59,Master's,Single,9,20,41,Auto,5783.319266,8.683592628,60,6284.312207,0.667038609,Quarterly,16303.52512,1,0
42,52570.52422,Retired,787,0.164668574,18028.42097,51,PhD,Divorced,7,9,42,Auto,44991.99451,5.096098159,314,92947.07709,0.636223221,Annually,6677.913293,2,0
43,48265.27576,Unemployed,673,0.290760043,3467.126821,18,High School,Married,8,5,43,Mortgage,18144.87772,13.64261664,83,22640.8439,0.774577845,Monthly,24463.61129,1,1
44,45483.44457,Unemployed,459,0.38733247,3585.497635,48,High School,Married,8,20,44,Business,28014.55214,14.01944653,274,99967.48392,0.86092658,Quarterly,37336.08008,3,0
45,27822.17014,Self-employed,650,0.198936126,34908.55154,47,Master's,Divorced,1,2,45,Business,18617.61408,6.935254418,333,17566.50803,0.996686394,Quarterly,5492.987853,3,0
46,39202.33687,Unemployed,587,0.356246073,23438.52073,65,Master's,Divorced,6,6,46,Auto,7164.314481,13.51908452,233,77268.8725,0.565785356,Monthly,21234.17458,3,0
47,43090.41844,Unemployed,587,0.366640192,12099.55968,35,Bachelor's,Single,6,26,47,Business,29877.2506,6.683310073,88,22729.54822,0.524646,Quarterly,889.2570631,3,0
48,65856.83339,Retired,525,0.165079898,31084.54501,72,Master's,Widowed,3,18,48,Auto,26731.90174,11.44702723,73,8544.256764,0.847177944,Monthly,1677.959082,3,0
49,55154.27434,Self-employed,822,0.326034125,13390.04779,34,Bachelor's,Married,8,28,49,Auto,10946.6844,7.925219937,168,87555.86577,0.916112892,Annually,24147.66816,4,0
50,23554.39767,Retired,821,0.408650764,29303.95596,55,PhD,Widowed,7,29,50,Mortgage,23141.58319,3.154872613,305,85945.75029,0.92317439,Monthly,14909.86491,2,0
51,54861.25954,Employed,572,0.299558266,18601.2286,31,Master's,Married,0,23,51,Business,40050.4277,14.02711172,136,40655.25405,0.839231775,Monthly,42255.36495,1,0
52,44223.76579,Employed,701,0.104841247,41354.0591,40,High School,Single,1,19,52,Mortgage,29930.87905,7.630304011,240,70388.41618,0.977007902,Quarterly,30107.71531,3,0
53,39846.17,Employed,482,0.103615388,41214.11188,42,High School,Divorced,1,9,53,Auto,5748.949026,11.41557504,351,55928.0603,0.755502382,Annually,22696.64809,4,0
54,59175.14433,Self-employed,787,0.242811738,24390.16951,32,Master's,Single,7,27,54,Auto,27853.05336,6.456846495,172,85369.13331,0.956907399,Monthly,20396.76855,4,0
55,65464.99284,Unemployed,423,0.470477627,18190.13636,63,Bachelor's,Divorced,0,21,55,Auto,35434.17667,1.754891861,40,31848.06895,0.983906068,Annually,24862.27401,4,0
56,63969.20179,Self-employed,713,0.191470712,18765.43003,73,High School,Widowed,3,24,56,Personal,39842.46688,2.857159842,125,52605.4038,0.923578729,Monthly,2021.941561,2,0
57,37411.73715,Self-employed,471,0.353745476,40480.01176,39,Bachelor's,Widowed,9,27,57,Personal,31826.76135,8.198962973,90,48794.55093,0.654879282,Quarterly,44639.66782,3,1
58,45361.81436,Unemployed,587,0.188830348,17080.79466,20,Master's,Single,4,6,58,Personal,8480.250062,10.81451882,34,35713.62971,0.598107826,Monthly,49915.15779,4,0
59,54968.95147,Retired,734,0.228667996,11243.90931,73,Master's,Divorced,8,14,59,Mortgage,35798.49006,6.018926909,117,89199.77892,0.774060032,Monthly,9074.356243,4,1
60,64633.17691,Employed,412,0.439216836,5149.728752,72,High School,Single,6,28,60,Auto,34189.75046,10.8890942,142,17004.8535,0.726507375,Annually,6019.148239,3,0
61,42812.38643,Retired,421,0.391544577,23867.96292,36,Master's,Divorced,7,26,61,Business,2196.917264,10.93158046,184,15376.10963,0.938879171,Monthly,7178.873172,2,0
62,47215.11535,Employed,843,0.138159711,24624.47285,74,PhD,Divorced,8,24,62,Mortgage,21175.63571,11.00313475,275,57902.49876,0.550015836,Quarterly,33051.35291,4,0
63,33404.97539,Self-employed,521,0.271480808,42204.52681,61,PhD,Widowed,6,29,63,Mortgage,17314.5621,8.149045029,353,65920.67588,0.628870031,Quarterly,33072.04192,1,0
64,32056.90064,Employed,338,0.111667905,11840.69613,51,High School,Widowed,4,13,64,Mortgage,33801.19115,13.85096303,296,19864.61581,0.875899472,Monthly,42396.20811,0,0
65,62187.88734,Self-employed,796,0.292356059,19668.57241,52,PhD,Divorced,4,11,65,Business,11590.6548,8.104152993,13,39376.3855,0.547493322,Monthly,37591.31942,0,0
66,70343.60043,Retired,532,0.364973605,40611.88121,67,Bachelor's,Divorced,9,12,66,Auto,29952.72423,7.578580112,244,94683.10238,0.660382207,Annually,22484.48367,0,0
67,48919.84818,Self-employed,829,0.147401049,41357.55693,18,High School,Divorced,5,19,67,Personal,45747.09213,4.191641057,262,25038.43356,0.693577697,Annually,30642.76808,2,0
68,65052.99347,Retired,448,0.215553976,19845.94272,69,High School,Widowed,4,19,68,Auto,40092.31624,5.653343679,332,67001.88986,0.811296898,Quarterly,34414.23352,4,0
69,55424.54038,Unemployed,696,0.25913465,23497.07714,38,Bachelor's,Widowed,8,21,69,Auto,46151.42907,2.071515649,119,74144.86467,0.579066323,Annually,25636.82351,0,1
70,40323.20368,Unemployed,601,0.46781241,15861.00865,46,PhD,Married,2,27,70,Mortgage,48946.79238,10.05272646,287,45088.8056,0.930302245,Monthly,23782.54922,0,0
71,55420.93408,Unemployed,659,0.497302006,46695.18904,23,PhD,Divorced,2,26,71,Mortgage,1522.836223,4.855232543,191,93783.83568,0.723771118,Quarterly,32254.87228,3,0
72,73070.5485,Self-employed,537,0.11796452,6813.544521,54,PhD,Married,6,19,72,Mortgage,31514.32254,5.606095936,224,73797.34515,0.958510856,Annually,27873.72745,4,0
73,49462.60941,Unemployed,535,0.404403169,46753.72173,18,High School,Divorced,6,24,73,Personal,21229.13049,11.90599604,304,46063.4957,0.733934957,Quarterly,32197.11527,4,0
74,73469.65484,Employed,502,0.248689627,34509.45614,68,High School,Widowed,5,26,74,Personal,43132.87003,5.917485973,83,57148.85258,0.637520129,Monthly,30642.7387,3,0
75,10703.82344,Retired,555,0.256983274,27047.03548,18,PhD,Married,2,13,75,Personal,13338.9204,4.769644542,294,69415.03762,0.570914414,Annually,35959.82803,4,0
76,62328.53757,Retired,534,0.401705989,2600.293978,44,Master's,Married,6,28,76,Auto,49070.44497,3.782279613,186,59422.92295,0.501872547,Monthly,32140.17544,1,0
77,51305.70602,Employed,644,0.467370573,24304.2134,38,PhD,Single,4,14,77,Mortgage,31071.69051,11.96058843,134,87930.40959,0.766078742,Monthly,25987.12432,2,0
78,45514.88974,Self-employed,833,0.480371438,20979.65715,70,Bachelor's,Divorced,6,24,78,Business,39883.33271,3.251034483,238,36010.4219,0.553578348,Quarterly,34089.84056,3,1
79,51376.41165,Self-employed,765,0.330849034,8899.721787,33,High School,Widowed,1,18,79,Auto,5194.378088,7.625675763,312,30338.63114,0.695863882,Quarterly,22474.09826,0,0
80,20186.46628,Retired,840,0.242848464,33164.07057,61,Bachelor's,Single,5,12,80,Personal,9989.436353,8.343556567,94,21776.9695,0.794635881,Quarterly,12083.5613,4,0
81,46704.92168,Unemployed,512,0.415019634,48586.39446,71,Bachelor's,Single,7,4,81,Business,38161.77998,10.77976382,264,4259.405322,0.637842948,Annually,70.9110067,1,0
82,55356.68857,Self-employed,762,0.200400553,28547.25174,57,High School,Divorced,0,10,82,Business,2077.33958,10.04932701,157,4779.889456,0.587612146,Annually,27998.20736,1,0
83,72168.41067,Self-employed,735,0.325629612,36022.91055,43,Master's,Single,3,29,83,Mortgage,41027.02131,12.44472908,131,87070.49171,0.887360811,Quarterly,29532.76133,2,0
84,42225.94673,Employed,582,0.243431385,4354.072176,33,PhD,Divorced,0,17,84,Business,1683.501916,2.104144358,76,68000.11807,0.973395586,Annually,48602.44824,1,1
85,37872.59596,Employed,762,0.362652429,21465.6828,45,Bachelor's,Single,0,4,85,Personal,33198.82311,5.501949785,292,66222.97534,0.550220209,Annually,18073.9167,4,0
86,42473.64435,Unemployed,706,0.196159565,6701.565773,18,High School,Divorced,9,12,86,Mortgage,18889.60209,5.281810603,294,61656.96048,0.577795162,Quarterly,19706.66214,4,0
87,63731.03177,Self-employed,387,0.176637178,31026.99594,53,Bachelor's,Widowed,7,13,87,Business,30963.24778,3.471228225,117,84997.3049,0.980006329,Monthly,10089.97907,1,0
88,54931.26664,Self-employed,343,0.467295635,46985.62575,27,PhD,Divorced,6,29,88,Mortgage,35105.53894,5.403906427,311,48286.5591,0.518892111,Annually,3526.714762,4,1
89,42053.59694,Employed,760,0.140721473,33427.10889,60,Master's,Divorced,9,27,89,Business,17781.28574,5.681831741,118,87105.87744,0.988816168,Annually,38640.22464,4,0
90,57699.0115,Self-employed,577,0.302383163,4763.349367,34,Master's,Married,0,29,90,Auto,6290.159957,8.545440236,47,36264.78011,0.502322242,Monthly,12484.05322,0,0
91,51456.16324,Retired,720,0.188341113,18378.64404,74,Master's,Widowed,1,4,91,Auto,4412.64752,10.46001047,158,92707.39668,0.936834328,Monthly,30445.24305,3,0
92,64529.67486,Employed,652,0.115571985,27982.50559,40,High School,Widowed,3,10,92,Personal,29857.86511,6.644856934,273,70016.36952,0.65366259,Monthly,34388.65178,4,0
93,39469.20359,Unemployed,814,0.114407527,20757.18005,24,High School,Widowed,0,25,93,Auto,26512.11233,11.21284812,170,26089.12503,0.969294429,Quarterly,23561.83436,4,0
94,45085.0678,Employed,318,0.170088709,41848.55651,61,Master's,Single,2,3,94,Auto,37367.84945,6.038232071,276,56626.44971,0.658472644,Monthly,43817.60565,2,0
95,44118.3777,Self-employed,322,0.446708142,40918.87923,70,PhD,Married,7,15,95,Auto,25977.03999,5.418829644,213,53536.54087,0.827153161,Quarterly,22189.74205,3,1
96,28047.27578,Unemployed,712,0.212991498,30979.71999,24,PhD,Widowed,7,2,96,Business,21699.84371,8.806038754,166,14220.93276,0.540016285,Monthly,14245.43115,3,0
97,54441.80416,Employed,329,0.480183668,19299.43931,61,High School,Single,7,25,97,Business,20506.27173,1.820170864,24,59328.66912,0.621164906,Monthly,44800.77615,3,0
98,53915.82908,Retired,407,0.332648917,13511.48231,32,Master's,Single,5,25,98,Mortgage,2295.898227,2.577153169,308,31821.16956,0.886839673,Quarterly,43078.21421,1,0
99,50076.70185,Retired,666,0.274645676,6187.841592,51,PhD,Single,5,17,99,Business,17442.30288,7.142588838,333,5708.702298,0.764342927,Quarterly,8201.997354,0,1
100,46481.193,Employed,580,0.332035534,18389.98649,63,PhD,Married,4,6,100,Auto,48824.98772,14.2293216,96,94891.28769,0.963984531,Monthly,1298.050918,0,0
101,28769.43887,Retired,427,0.306679354,21245.45334,62,PhD,Single,8,26,101,Business,43804.22324,11.24040903,291,64328.29172,0.714375704,Monthly,4499.277817,2,1
102,43690.32016,Retired,528,0.403510502,34115.32333,21,High School,Married,3,8,102,Personal,17139.52528,2.689708688,256,87753.43372,0.934906183,Monthly,14327.36993,3,1
103,44859.28225,Retired,410,0.212998426,33249.83139,31,Master's,Divorced,9,3,103,Mortgage,29801.97485,12.92529317,311,67767.5725,0.724477719,Annually,48612.99009,3,0
104,37965.84096,Unemployed,435,0.241220157,4435.298842,31,Bachelor's,Single,6,27,104,Mortgage,42517.54053,11.3860604,327,36019.87737,0.989624139,Monthly,27925.80766,4,0
105,47580.71433,Retired,661,0.457637721,20367.70646,33,Master's,Widowed,0,25,105,Business,22622.4425,9.747778097,20,51512.4632,0.979917191,Quarterly,18663.0866,1,0
106,56060.76285,Retired,485,0.478582605,9907.164494,24,Master's,Single,8,18,106,Auto,1879.935324,12.57395497,258,67736.80265,0.664568353,Annually,44435.80473,1,0
107,78292.78852,Retired,428,0.457023291,8683.822561,49,High School,Divorced,6,22,107,Mortgage,4651.012629,6.955482945,323,96045.10636,0.942961835,Quarterly,22656.81657,2,0
108,52618.66719,Unemployed,560,0.267779198,41537.80534,36,PhD,Divorced,9,1,108,Personal,26009.24335,4.490264187,289,25740.11118,0.923805687,Annually,15761.93142,0,0
109,53863.25586,Employed,814,0.412146201,3053.845619,19,PhD,Single,8,29,109,Personal,48502.52941,8.412315753,249,87560.21733,0.605340199,Annually,47060.97644,3,0
110,48883.31126,Self-employed,748,0.290534293,21539.96092,27,High School,Divorced,6,16,110,Mortgage,34967.26757,8.909363701,214,92445.74163,0.8121452,Quarterly,42475.88331,2,1
111,21218.43177,Retired,403,0.299015941,9241.979133,67,High School,Married,1,7,111,Auto,4474.89338,8.767406022,258,67206.34371,0.536341158,Annually,42183.41877,1,0
112,49602.29187,Employed,782,0.181872044,44087.18057,34,High School,Married,5,3,112,Auto,10278.68291,9.128496185,246,93161.02943,0.91835536,Quarterly,25614.23715,1,0
113,50903.45315,Retired,523,0.336452121,28294.98515,54,High School,Single,9,23,113,Business,38794.83402,14.3075164,92,40088.91945,0.587272942,Monthly,39471.91994,1,0
114,86948.63169,Unemployed,790,0.174454359,12337.65118,29,High School,Married,3,4,114,Business,42230.54824,13.68031591,24,95325.10952,0.535407351,Annually,8967.667963,3,0
115,47114.58553,Employed,772,0.23262588,25618.93707,23,Bachelor's,Married,2,9,115,Mortgage,31267.03472,13.32217999,338,70426.89628,0.700109548,Quarterly,28661.14788,3,0
116,54523.21014,Unemployed,309,0.442012081,36842.83163,39,Master's,Widowed,1,5,116,Business,32576.73531,12.31912695,27,4679.573858,0.788461069,Annually,49192.29614,3,1
117,49479.32345,Retired,704,0.182830324,47947.78244,49,Master's,Single,5,19,117,Business,2388.535069,14.23627945,56,90733.84677,0.927458479,Quarterly,14547.92153,4,0
118,32469.82944,Retired,601,0.128463314,11801.85421,58,Master's,Divorced,7,15,118,Business,41597.98272,2.829677663,332,48705.0445,0.987121263,Monthly,39717.61646,0,0
119,67142.34222,Unemployed,530,0.127603037,44422.90683,37,PhD,Single,5,8,119,Personal,39625.4852,5.07916403,150,46302.53499,0.719746256,Monthly,24523.92036,1,0
120,61278.99549,Self-employed,365,0.476313808,46780.90159,18,Bachelor's,Married,8,6,120,Business,13692.72206,8.183255266,337,56863.42729,0.530223461,Annually,1990.284161,1,0
121,61865.47921,Unemployed,411,0.302768175,45904.60668,71,Master's,Widowed,4,18,121,Mortgage,35725.15928,12.92821566,159,15363.7624,0.87455779,Annually,38150.96989,4,0
122,36359.18818,Retired,312,0.263764829,32135.30349,64,PhD,Single,1,19,122,Auto,11527.87571,8.319737106,247,47182.02183,0.782586628,Quarterly,8428.45722,1,0
123,71041.91466,Unemployed,692,0.424351432,31861.21207,70,Bachelor's,Single,7,24,123,Business,2976.177892,11.59846898,202,83197.15806,0.723945672,Quarterly,31573.67836,1,0
124,28972.23406,Self-employed,799,0.434330371,20757.32103,23,Bachelor's,Married,8,15,124,Auto,10855.69059,3.375958721,112,2040.504684,0.654634439,Annually,4283.209702,3,0
125,58802.85641,Unemployed,533,0.232876413,37867.49623,36,PhD,Married,9,26,125,Business,9752.814961,4.907586475,116,27655.25745,0.751199264,Quarterly,47343.36987,3,0
126,82856.83439,Self-employed,613,0.377447223,27033.4069,35,Bachelor's,Single,3,7,126,Mortgage,17549.65184,11.37897728,261,744.2313512,0.669339802,Quarterly,14586.19436,0,0
127,35141.95512,Self-employed,311,0.408449126,34194.46549,23,PhD,Married,5,10,127,Personal,21504.02536,3.72390912,105,41863.27526,0.878505934,Quarterly,11323.23458,1,0
128,41505.53406,Unemployed,508,0.361860275,21994.43729,62,Master's,Married,9,6,128,Mortgage,25918.40568,6.243305118,231,72967.39329,0.771946848,Annually,6456.820203,2,0
129,51494.77048,Unemployed,313,0.16063803,36843.32674,50,PhD,Married,7,14,129,Personal,24360.9399,5.07569448,309,79977.797,0.938423887,Monthly,47300.10967,1,1
130,42447.86519,Employed,717,0.450353233,41399.10436,40,Bachelor's,Married,8,17,130,Business,14263.05569,6.223132872,350,94546.38123,0.771771957,Monthly,35595.18712,1,0
131,26740.04853,Retired,736,0.315637821,8175.376574,40,Master's,Married,4,9,131,Business,2429.36276,11.06237466,144,61046.20899,0.619131207,Quarterly,37083.04444,0,0
132,51028.44462,Self-employed,676,0.212988971,41813.55606,43,Master's,Widowed,5,19,132,Personal,30649.97949,6.465936945,166,25835.37323,0.925545941,Annually,24970.22807,2,0
133,34065.44429,Employed,319,0.270091274,27474.53006,30,High School,Married,3,5,133,Mortgage,20391.49666,8.996054855,39,92452.72094,0.778609522,Quarterly,23736.38926,1,0
134,57103.88646,Unemployed,369,0.115028436,42388.62955,24,High School,Divorced,4,23,134,Mortgage,15634.93571,2.84908034,293,77643.91751,0.603420519,Monthly,5501.06215,2,0
135,36208.63649,Retired,510,0.15114672,22133.78361,32,Bachelor's,Single,6,7,135,Personal,43480.1111,12.36773886,127,57655.63406,0.811753905,Quarterly,27992.05478,3,0
136,73249.01608,Employed,400,0.4062187,19572.98378,61,PhD,Widowed,8,19,136,Business,37590.42208,6.493496446,316,69716.20146,0.678858382,Monthly,12345.82476,3,0
137,38251.20061,Self-employed,431,0.100004654,45837.97589,44,PhD,Widowed,9,20,137,Personal,43030.51187,10.25521115,245,92469.47732,0.922202806,Annually,48857.26664,2,0
138,45169.07726,Employed,680,0.266626331,13307.29411,43,Bachelor's,Married,5,26,138,Business,25254.15694,11.29275962,12,71383.20583,0.726649869,Quarterly,39829.047,1,0
139,62202.75826,Self-employed,431,0.309004072,42366.40394,50,Master's,Single,5,7,139,Personal,7415.631354,4.330422449,359,37153.2635,0.863220679,Annually,20649.60301,2,0
140,31537.03525,Unemployed,319,0.121853768,24717.00805,32,Bachelor's,Divorced,7,24,140,Business,35114.85037,13.4431123,251,71446.30613,0.547768104,Quarterly,7567.062935,2,0
141,53411.89902,Retired,835,0.489231265,26190.67669,53,Bachelor's,Married,3,2,141,Personal,11097.61522,9.819027397,69,4507.677192,0.698012173,Quarterly,39266.58456,3,0
142,69607.14131,Retired,526,0.190450132,16114.94579,62,Master's,Single,2,25,142,Auto,22620.25379,7.287789414,346,38948.3484,0.991620718,Quarterly,6102.688354,2,0
143,25887.75148,Retired,453,0.221679488,29079.06783,72,PhD,Married,6,23,143,Business,4185.038658,3.961524978,194,40929.14167,0.904230145,Quarterly,9466.687675,4,0
144,52769.50788,Unemployed,768,0.221577005,16935.34862,44,Bachelor's,Married,4,16,144,Mortgage,41440.11172,14.22106266,348,17100.40432,0.579970401,Quarterly,10576.02589,4,0
145,53898.24191,Self-employed,704,0.192166665,2924.201298,74,PhD,Married,1,13,145,Personal,7171.091411,11.69342076,37,2797.005315,0.638882025,Annually,27844.53191,3,0
146,61727.34308,Unemployed,501,0.100589529,14327.93166,22,Bachelor's,Married,1,8,146,Mortgage,45251.77785,4.308331597,88,13771.43305,0.664907904,Annually,39352.8327,1,1
147,31445.73934,Retired,337,0.391737918,1312.573127,19,Master's,Married,5,6,147,Personal,43347.29951,6.059095459,228,65634.83883,0.82518278,Monthly,15715.74394,1,0
148,30193.1508,Unemployed,487,0.4867382,48939.38457,72,Master's,Married,7,6,148,Mortgage,23764.55546,12.43060248,339,80327.73723,0.87849738,Quarterly,4233.490714,3,1
149,57829.12348,Unemployed,356,0.189717393,48321.61328,50,High School,Married,0,9,149,Mortgage,37474.04201,10.89164845,336,98826.24753,0.874763304,Monthly,23226.92318,1,1
150,54454.7701,Unemployed,319,0.365218877,20362.60958,33,Master's,Divorced,5,4,150,Personal,31352.80862,11.83808795,273,34963.16856,0.754937028,Annually,37405.51206,0,0
151,53757.39276,Self-employed,572,0.396758531,36690.17186,40,High School,Widowed,1,27,151,Personal,40350.70647,7.45621488,34,60138.23261,0.905410269,Monthly,11083.19215,4,0
152,55196.72314,Employed,418,0.439370152,17944.49882,55,Bachelor's,Divorced,1,11,152,Mortgage,22158.44994,11.17242955,255,93745.9242,0.718539041,Annually,10996.2274,0,0
153,39799.62918,Employed,815,0.269051679,33883.5647,72,PhD,Married,6,5,153,Mortgage,39504.61573,6.717665259,169,17120.65724,0.561940283,Quarterly,47361.35137,0,0
154,53483.80546,Unemployed,520,0.221172362,40466.07211,33,Master's,Married,9,25,154,Mortgage,23660.38404,4.352049379,217,71905.73584,0.782220921,Monthly,47707.68636,0,0
