Customer_ID,Age,Gender,Income_Level,Occupation,Marital_Status,Education_Level,Location,Policy_Type,Coverage_Amount,Premium_Amount,Policy_Tenure_Years,Claim_History,Payment_Preferences,Customer_Support_Tickets,Marketing_Engagement,Customer_Feedback,Risk_Appetite,Renewal_Behavior
1045,23,Female,Medium,Lawyer,Divorced,Bachelor,Suburban,Auto,17279,1810,7,No,Monthly,2,Low,Positive,Low,On Time
1046,53,Female,High,Teacher,Widowed,Master,Rural,Health,43022,1745,7,No,Monthly,4,High,Positive,Low,Late
1047,36,Female,Medium,Artist,Divorced,High School,Urban,Life,39632,764,9,No,Annually,4,High,Negative,Low,Late
1048,29,Female,Low,Artist,Widowed,Master,Rural,Health,23065,611,4,Yes,Annually,2,Low,Negative,Low,Early
1049,59,Female,Medium,Lawyer,Married,High School,Rural,Travel,60271,114,8,Yes,Annually,3,High,Positive,Low,Early
1050,33,Female,Medium,Engineer,Divorced,Bachelor,Urban,Home,19303,1230,4,No,Annually,5,Low,Positive,High,Late
1051,60,Male,Medium,Doctor,Single,Master,Suburban,Life,63417,492,7,No,Annually,5,Low,Positive,Low,Late
1052,25,Male,Medium,Doctor,Widowed,Master,Suburban,Life,18436,1206,3,No,Annually,2,Medium,Positive,Low,On Time
1053,31,Female,High,Engineer,Divorced,PhD,Rural,Home,30770,104,8,Yes,Monthly,3,High,Neutral,High,Early
1054,31,Male,Medium,Engineer,Widowed,PhD,Rural,Health,79189,110,3,Yes,Annually,5,High,Positive,Medium,On Time
1055,66,Male,Low,Lawyer,Divorced,Master,Rural,Auto,18747,635,5,No,Annually,4,Low,Negative,Low,On Time
1056,39,Female,Medium,Doctor,Married,PhD,Rural,Health,74019,1241,3,No,Annually,3,High,Positive,High,On Time
1057,43,Male,Medium,Doctor,Widowed,PhD,Urban,Home,32937,1977,3,Yes,Monthly,4,Medium,Neutral,Medium,Late
1058,54,Male,High,Artist,Widowed,Bachelor,Rural,Home,36589,453,8,Yes,Monthly,1,High,Positive,Low,Late
1059,63,Female,High,Engineer,Single,Bachelor,Urban,Life,18730,1375,4,No,Annually,1,Medium,Negative,High,Early
1060,68,Female,Low,Artist,Widowed,Master,Rural,Auto,60646,1067,4,No,Annually,4,Medium,Neutral,Low,Late
1061,53,Male,Low,Artist,Widowed,Master,Rural,Home,9231,1242,1,Yes,Annually,1,Medium,Negative,Low,Early
1062,62,Female,Medium,Lawyer,Widowed,High School,Rural,Auto,57332,1373,8,No,Annually,5,Medium,Neutral,High,Early
1063,20,Female,Medium,Teacher,Single,Bachelor,Urban,Auto,5925,1492,2,No,Monthly,1,Low,Positive,Medium,On Time
1064,52,Female,Low,Teacher,Single,Master,Suburban,Health,52574,728,3,No,Monthly,0,High,Positive,Medium,On Time
1065,61,Female,Low,Teacher,Widowed,Master,Suburban,Life,22040,1038,8,No,Monthly,3,Low,Negative,Low,Late
1066,33,Male,Medium,Teacher,Divorced,Bachelor,Suburban,Travel,60277,1069,8,Yes,Annually,0,Medium,Neutral,Medium,On Time
1067,50,Female,Medium,Business Owner,Married,High School,Urban,Auto,67458,1875,7,No,Monthly,5,High,Neutral,High,On Time
1068,58,Female,Low,Doctor,Married,PhD,Rural,Home,11376,877,7,Yes,Monthly,0,Medium,Positive,Medium,Late
1069,33,Female,High,Business Owner,Single,Bachelor,Rural,Health,11759,1012,6,No,Annually,4,Medium,Positive,Medium,On Time
1070,47,Male,Medium,Business Owner,Widowed,High School,Rural,Auto,93271,1718,2,No,Monthly,5,Low,Positive,Medium,On Time
1071,65,Female,High,Engineer,Divorced,PhD,Rural,Travel,14682,240,5,Yes,Annually,3,High,Neutral,Medium,Late
1072,58,Female,High,Teacher,Divorced,High School,Rural,Travel,87171,508,4,No,Monthly,5,Low,Neutral,Medium,On Time
1073,54,Female,Medium,Doctor,Married,PhD,Urban,Health,61657,1519,2,Yes,Monthly,3,Low,Positive,Low,Early
1074,62,Male,Low,Business Owner,Divorced,Master,Rural,Home,14536,1862,6,No,Annually,2,High,Negative,Medium,Early
1075,22,Male,Medium,Doctor,Widowed,Bachelor,Rural,Health,91292,1191,6,No,Monthly,3,Medium,Neutral,Medium,Late
1076,69,Male,High,Business Owner,Single,PhD,Suburban,Home,58225,325,9,Yes,Monthly,5,Low,Negative,High,On Time
1077,23,Male,Low,Lawyer,Single,PhD,Suburban,Life,98664,624,10,No,Annually,5,High,Negative,Low,Late
1078,68,Male,High,Artist,Married,PhD,Urban,Travel,63334,1065,4,Yes,Monthly,0,High,Negative,High,Early
1079,55,Female,Low,Artist,Single,High School,Urban,Auto,78155,247,9,No,Monthly,3,High,Negative,Medium,Late
1080,50,Female,Medium,Teacher,Divorced,High School,Suburban,Auto,96505,1217,5,No,Annually,3,Medium,Positive,Low,On Time
1081,64,Male,High,Doctor,Married,PhD,Urban,Auto,54307,526,2,Yes,Monthly,0,Medium,Negative,High,Early
1082,30,Male,Medium,Engineer,Married,High School,Urban,Auto,68929,2000,4,Yes,Monthly,3,Medium,Negative,High,Late
1083,51,Female,High,Engineer,Divorced,PhD,Suburban,Travel,88187,730,6,No,Annually,4,High,Neutral,Medium,Late
1084,65,Male,Medium,Engineer,Single,PhD,Suburban,Auto,12237,786,4,No,Monthly,0,Medium,Positive,Medium,Early
1085,25,Male,Medium,Artist,Widowed,PhD,Urban,Home,44654,665,2,No,Monthly,4,Medium,Neutral,High,On Time
1086,60,Female,Low,Engineer,Married,High School,Rural,Travel,79695,1521,4,Yes,Annually,2,High,Neutral,Low,Late
1087,22,Female,Medium,Teacher,Married,PhD,Suburban,Life,26627,1491,9,Yes,Annually,5,Low,Neutral,High,Late
1088,57,Male,High,Teacher,Divorced,Bachelor,Rural,Life,63426,1488,1,No,Annually,2,High,Neutral,Low,Late
1089,24,Female,Medium,Doctor,Widowed,Bachelor,Rural,Life,62924,942,6,Yes,Annually,0,Medium,Negative,Low,On Time
1090,39,Female,High,Artist,Single,High School,Rural,Auto,33928,705,8,Yes,Annually,4,Medium,Negative,Low,Late
1091,52,Male,Medium,Artist,Divorced,PhD,Rural,Home,68067,974,2,No,Monthly,2,Low,Negative,High,Early
1092,50,Female,Medium,Lawyer,Married,Master,Rural,Auto,48654,721,10,Yes,Monthly,1,High,Positive,Medium,Late
1093,40,Male,High,Doctor,Married,PhD,Rural,Travel,72204,1861,6,No,Monthly,1,High,Neutral,High,Late
1094,51,Male,Medium,Artist,Single,High School,Rural,Auto,30260,1604,9,No,Annually,2,Medium,Neutral,Low,Early
1095,47,Female,Medium,Lawyer,Married,PhD,Urban,Auto,28434,641,10,No,Annually,2,Medium,Positive,High,Late
1096,32,Male,Low,Engineer,Divorced,High School,Suburban,Home,81146,1508,8,No,Monthly,3,High,Positive,Low,On Time
1097,62,Female,Medium,Teacher,Widowed,PhD,Rural,Travel,56352,1819,2,Yes,Monthly,1,Medium,Positive,Medium,Early
1098,62,Male,Medium,Doctor,Married,PhD,Urban,Life,55677,1098,7,Yes,Annually,5,Medium,Negative,Low,Late
1099,45,Female,High,Artist,Married,High School,Urban,Travel,26915,1194,8,No,Monthly,5,High,Negative,Low,On Time
1100,67,Female,Medium,Lawyer,Single,High School,Urban,Health,82991,218,9,No,Annually,2,High,Negative,High,On Time
1101,34,Male,Medium,Teacher,Divorced,PhD,Suburban,Life,95623,1684,8,No,Annually,0,High,Positive,Low,Early
1102,34,Female,High,Business Owner,Widowed,Master,Urban,Home,36307,1717,7,No,Annually,0,High,Neutral,Low,Late
1103,49,Female,Low,Lawyer,Divorced,Master,Rural,Life,88303,420,4,No,Annually,1,High,Neutral,High,On Time
1104,47,Male,High,Engineer,Widowed,High School,Suburban,Auto,11557,239,9,No,Monthly,0,Medium,Neutral,Medium,Early
1105,26,Male,Medium,Teacher,Widowed,PhD,Urban,Travel,62882,159,2,Yes,Annually,3,Medium,Neutral,High,On Time
1106,32,Female,Low,Doctor,Married,PhD,Urban,Life,31782,1578,2,No,Monthly,4,Medium,Neutral,Low,Early
1107,19,Male,High,Artist,Married,High School,Rural,Auto,30937,962,1,Yes,Annually,1,Low,Negative,Low,On Time
1108,48,Male,High,Business Owner,Married,Bachelor,Urban,Travel,45754,919,8,No,Annually,0,Medium,Negative,High,Early
1109,29,Female,Low,Engineer,Divorced,Master,Urban,Life,14080,1853,9,Yes,Monthly,5,Low,Neutral,High,Late
1110,37,Female,Medium,Artist,Divorced,PhD,Suburban,Life,95780,1954,4,No,Annually,0,Low,Neutral,Medium,Early
1111,50,Female,Medium,Lawyer,Widowed,PhD,Rural,Life,26086,1982,8,No,Annually,1,High,Neutral,Medium,Early
1112,67,Male,High,Lawyer,Single,Bachelor,Suburban,Travel,36341,1706,7,No,Monthly,3,High,Neutral,Medium,On Time
1113,44,Male,Low,Business Owner,Married,Master,Suburban,Life,51157,1385,2,Yes,Monthly,2,Low,Neutral,High,On Time
1114,58,Female,Low,Doctor,Divorced,Master,Suburban,Auto,31569,1714,5,No,Annually,4,High,Positive,Low,Late
1115,37,Female,Medium,Teacher,Widowed,Bachelor,Urban,Auto,91300,1125,4,No,Annually,3,Medium,Neutral,High,Early
1116,24,Male,Medium,Business Owner,Married,PhD,Rural,Health,44080,426,8,Yes,Annually,0,High,Neutral,Low,Late
1117,58,Male,Medium,Artist,Divorced,Master,Rural,Travel,42520,1872,1,No,Annually,1,High,Positive,Medium,On Time
1118,56,Female,High,Business Owner,Married,PhD,Rural,Home,53638,1713,1,Yes,Annually,4,High,Positive,High,Late
1119,50,Male,High,Teacher,Widowed,High School,Urban,Home,52079,1142,5,No,Annually,1,High,Negative,Medium,Late
1120,48,Female,High,Artist,Single,Master,Urban,Travel,7832,1279,1,Yes,Annually,2,High,Negative,High,On Time
1121,51,Female,Medium,Teacher,Divorced,High School,Suburban,Home,24489,1982,5,Yes,Annually,0,Low,Positive,High,Late
1122,21,Female,High,Lawyer,Single,Bachelor,Suburban,Travel,64344,1883,7,No,Monthly,2,Medium,Neutral,High,On Time
1123,29,Female,Low,Engineer,Divorced,Bachelor,Rural,Home,45997,212,5,Yes,Annually,5,High,Neutral,Low,Early
1124,58,Male,Low,Artist,Widowed,Master,Urban,Auto,83636,1592,5,No,Monthly,4,Medium,Negative,Low,Early
1125,53,Male,High,Engineer,Widowed,High School,Rural,Home,18712,1632,6,Yes,Monthly,3,Medium,Negative,Medium,Early
1126,40,Female,High,Business Owner,Widowed,Master,Rural,Home,93146,1487,7,Yes,Annually,5,High,Positive,Medium,On Time
1127,56,Male,Medium,Business Owner,Divorced,Bachelor,Urban,Home,64393,1354,7,Yes,Annually,3,Medium,Neutral,Medium,Early
1128,67,Female,Low,Lawyer,Widowed,PhD,Urban,Health,36011,334,7,Yes,Monthly,4,High,Negative,Low,Late
1129,54,Female,High,Lawyer,Married,PhD,Suburban,Life,99472,430,6,Yes,Annually,2,High,Positive,Medium,Early
1130,18,Male,Low,Doctor,Divorced,High School,Suburban,Health,18657,1498,4,No,Monthly,4,Low,Neutral,High,Late
1131,66,Female,Low,Lawyer,Widowed,High School,Suburban,Health,47946,1542,1,No,Annually,4,Medium,Positive,Medium,Late
1132,47,Male,Low,Teacher,Married,PhD,Urban,Life,70746,1425,7,Yes,Monthly,1,High,Positive,Low,On Time
1133,52,Male,Low,Lawyer,Single,PhD,Rural,Auto,53397,1522,6,No,Annually,4,Low,Neutral,High,On Time
1134,29,Male,Low,Engineer,Married,Bachelor,Urban,Travel,65956,449,9,No,Monthly,4,Low,Negative,Medium,Early
1135,59,Female,Low,Engineer,Married,PhD,Suburban,Travel,67323,1800,2,No,Annually,4,Low,Positive,Low,Early
1136,34,Male,High,Lawyer,Divorced,High School,Suburban,Life,76239,603,8,No,Monthly,3,High,Negative,High,Late
1137,66,Male,High,Doctor,Widowed,Bachelor,Urban,Life,36309,1118,3,Yes,Annually,3,Medium,Neutral,Low,On Time
1138,38,Male,Medium,Doctor,Divorced,PhD,Suburban,Auto,26854,1650,10,Yes,Annually,2,Low,Negative,Medium,On Time
1139,20,Female,Low,Artist,Married,High School,Rural,Auto,37899,1027,4,No,Annually,0,High,Neutral,High,Early
1140,37,Female,High,Lawyer,Divorced,High School,Urban,Home,87072,1489,5,Yes,Monthly,2,Medium,Neutral,High,On Time
1141,43,Male,High,Engineer,Married,Master,Urban,Home,19003,657,10,Yes,Annually,2,Medium,Neutral,High,Early
1142,25,Female,Medium,Lawyer,Divorced,Bachelor,Urban,Life,10652,404,7,Yes,Annually,5,Low,Negative,Low,Early
1143,27,Female,Low,Teacher,Married,Bachelor,Urban,Auto,54931,494,6,No,Annually,2,Medium,Negative,Low,Late
1144,59,Male,Medium,Business Owner,Single,Master,Rural,Life,15910,166,5,Yes,Monthly,0,Low,Neutral,Medium,On Time
1145,51,Male,Low,Engineer,Widowed,High School,Urban,Auto,40163,680,10,No,Monthly,1,Low,Positive,Low,Late
1146,50,Female,High,Business Owner,Single,High School,Suburban,Life,59472,425,2,No,Annually,1,Low,Positive,High,Early
1147,44,Male,High,Lawyer,Divorced,High School,Urban,Home,37082,990,2,Yes,Annually,5,Low,Negative,Medium,Late
1148,59,Female,Low,Business Owner,Married,High School,Suburban,Travel,74783,505,1,Yes,Monthly,5,Low,Negative,Medium,On Time
1149,52,Male,High,Engineer,Single,High School,Suburban,Travel,33211,984,4,Yes,Annually,1,Medium,Negative,Medium,Early
1150,63,Male,High,Doctor,Widowed,Master,Suburban,Home,19816,998,8,Yes,Monthly,0,High,Positive,High,On Time
1151,42,Female,Medium,Business Owner,Single,Bachelor,Suburban,Travel,94428,796,6,Yes,Monthly,1,Low,Positive,Medium,Late
1152,24,Female,High,Doctor,Married,PhD,Suburban,Travel,32748,1233,2,Yes,Monthly,5,Medium,Negative,High,On Time
1153,56,Male,Medium,Lawyer,Married,PhD,Suburban,Auto,70144,832,8,No,Monthly,3,Low,Negative,High,Early
1154,62,Male,High,Business Owner,Married,High School,Rural,Health,16922,675,6,No,Monthly,5,High,Positive,Medium,Late
1155,37,Female,Medium,Doctor,Widowed,High School,Urban,Health,64485,1319,9,No,Annually,2,Low,Neutral,Low,On Time
1156,41,Female,High,Engineer,Single,High School,Urban,Auto,92229,620,1,No,Annually,5,High,Positive,High,On Time
1157,31,Male,High,Doctor,Divorced,PhD,Suburban,Home,9589,1645,1,No,Annually,4,Medium,Neutral,Low,Late
1158,31,Male,High,Artist,Divorced,Master,Urban,Auto,14401,1707,1,Yes,Annually,5,Medium,Neutral,Medium,On Time
1159,27,Female,Low,Lawyer,Widowed,Master,Urban,Auto,88572,907,10,No,Annually,1,High,Negative,High,On Time
1160,49,Female,Low,Engineer,Widowed,Master,Urban,Travel,62085,529,7,Yes,Annually,5,High,Positive,Low,Early
1161,26,Male,High,Engineer,Widowed,High School,Rural,Life,33471,1842,1,Yes,Annually,1,Low,Negative,Low,Late
1162,70,Male,Low,Doctor,Widowed,High School,Rural,Home,55802,829,2,No,Monthly,2,Medium,Negative,Low,Late
1163,67,Female,High,Business Owner,Divorced,Bachelor,Rural,Auto,76263,1580,5,No,Annually,1,Low,Negative,High,On Time
1164,37,Male,Low,Business Owner,Married,High School,Urban,Health,90373,682,10,No,Monthly,4,Low,Neutral,Medium,Late
1165,65,Female,High,Doctor,Divorced,PhD,Rural,Health,76105,1161,10,Yes,Monthly,3,Medium,Positive,Medium,On Time
1166,30,Female,Medium,Teacher,Married,High School,Urban,Health,62810,1415,8,Yes,Annually,1,Medium,Negative,Low,Early
1167,40,Male,High,Business Owner,Widowed,Master,Rural,Auto,75158,1681,8,No,Annually,3,Medium,Neutral,Low,Late
1168,53,Female,High,Doctor,Widowed,High School,Urban,Health,58005,1171,1,Yes,Monthly,1,High,Positive,Medium,Late
1169,22,Female,Medium,Business Owner,Married,High School,Rural,Auto,55580,1957,3,Yes,Monthly,1,Low,Neutral,High,On Time
1170,68,Female,High,Business Owner,Widowed,Bachelor,Urban,Life,22464,522,4,No,Annually,1,High,Neutral,Low,Late
1171,31,Male,Medium,Engineer,Married,Bachelor,Suburban,Health,87872,1953,1,Yes,Annually,3,Low,Positive,Low,On Time
1172,40,Female,Medium,Doctor,Widowed,Master,Urban,Health,24860,1570,5,No,Monthly,3,Low,Neutral,High,On Time
1173,36,Male,Low,Lawyer,Married,High School,Suburban,Home,42206,205,8,No,Annually,5,High,Neutral,High,On Time
1174,26,Male,Medium,Engineer,Divorced,Bachelor,Urban,Life,66911,1224,3,Yes,Annually,2,Low,Neutral,High,On Time
1175,44,Male,High,Teacher,Widowed,Bachelor,Suburban,Travel,43577,1998,7,No,Annually,0,Medium,Negative,High,Late
1176,65,Female,High,Lawyer,Single,High School,Suburban,Home,13906,986,9,No,Monthly,0,Medium,Positive,Low,Early
1177,56,Female,Low,Doctor,Divorced,High School,Urban,Life,76285,1533,3,Yes,Annually,3,Medium,Neutral,Low,On Time
1178,28,Female,High,Teacher,Divorced,High School,Rural,Auto,95531,1644,10,No,Monthly,3,Medium,Neutral,Medium,On Time
1179,46,Male,Low,Engineer,Widowed,Master,Urban,Health,18885,1384,9,No,Annually,2,High,Neutral,Medium,Early
1180,63,Female,Low,Teacher,Divorced,Master,Rural,Travel,23586,1846,1,Yes,Annually,0,Medium,Negative,Low,Late
1181,53,Male,Low,Teacher,Single,PhD,Urban,Health,73677,1940,7,No,Annually,3,Low,Positive,Low,On Time
1182,66,Female,High,Doctor,Married,Bachelor,Urban,Auto,14045,1528,7,Yes,Monthly,2,Medium,Neutral,Medium,Early
1183,69,Female,Low,Lawyer,Divorced,Bachelor,Suburban,Home,42144,193,7,No,Annually,5,Medium,Neutral,Medium,Late
1184,45,Male,Low,Engineer,Widowed,Bachelor,Suburban,Travel,30414,1505,4,No,Annually,3,Low,Negative,Medium,Early
1185,54,Male,High,Artist,Widowed,Bachelor,Rural,Life,64064,335,4,No,Annually,2,High,Negative,Low,Late
1186,54,Male,High,Doctor,Married,PhD,Suburban,Health,57654,378,5,No,Annually,2,Low,Negative,Low,On Time
1187,50,Female,High,Teacher,Single,High School,Suburban,Home,40825,1140,9,Yes,Annually,5,Low,Negative,Low,Late
1188,56,Male,Low,Doctor,Widowed,PhD,Suburban,Home,39791,581,9,Yes,Monthly,2,Medium,Positive,Low,On Time
1189,32,Male,High,Business Owner,Widowed,Bachelor,Suburban,Life,70505,888,3,Yes,Monthly,5,High,Negative,Medium,Early
1190,31,Male,Low,Business Owner,Single,High School,Urban,Health,81036,809,3,No,Annually,2,Medium,Negative,Low,On Time
1191,64,Female,Low,Engineer,Widowed,Master,Rural,Home,50372,1528,3,No,Monthly,4,High,Positive,High,Late
1192,23,Female,Medium,Doctor,Divorced,High School,Rural,Travel,16664,1639,5,Yes,Annually,3,High,Positive,High,Late
1193,44,Male,Medium,Lawyer,Married,High School,Suburban,Auto,24107,1330,3,No,Annually,0,High,Negative,Low,On Time
1194,45,Male,High,Doctor,Single,Bachelor,Suburban,Life,5432,1198,1,No,Monthly,4,Low,Neutral,High,Early
1195,38,Male,High,Engineer,Divorced,PhD,Rural,Travel,63610,1545,5,Yes,Monthly,4,Low,Negative,Medium,Early
1196,19,Female,Low,Business Owner,Married,Master,Rural,Health,93077,1963,4,No,Annually,4,High,Positive,High,Early
1197,27,Male,Medium,Doctor,Divorced,High School,Suburban,Home,74419,1939,8,No,Annually,3,Medium,Neutral,Low,Late
1198,57,Male,Low,Business Owner,Married,High School,Rural,Travel,29006,1862,4,Yes,Annually,0,Low,Positive,Low,Late
1199,30,Male,Low,Engineer,Single,Master,Urban,Auto,96804,1714,4,Yes,Monthly,1,Low,Negative,Low,Late
1200,30,Female,Medium,Engineer,Single,Bachelor,Rural,Life,83690,607,7,Yes,Monthly,2,High,Neutral,Low,Early
1201,47,Female,High,Lawyer,Widowed,Master,Urban,Travel,53601,479,5,No,Monthly,1,Low,Positive,High,Late
1202,30,Male,High,Engineer,Married,Bachelor,Suburban,Travel,97280,1475,2,Yes,Annually,3,Low,Neutral,High,Early
1203,32,Female,High,Lawyer,Married,PhD,Rural,Life,94549,127,8,Yes,Monthly,5,High,Neutral,Medium,Late
1204,59,Female,Medium,Business Owner,Single,Master,Rural,Auto,10234,1503,4,Yes,Monthly,0,Low,Negative,High,Late
1205,37,Female,Medium,Business Owner,Divorced,Bachelor,Urban,Travel,64027,1844,7,Yes,Annually,3,Medium,Neutral,Low,Early
1206,33,Male,Low,Doctor,Single,Bachelor,Suburban,Auto,18034,1798,6,No,Monthly,3,High,Positive,Low,On Time
1207,44,Female,Low,Lawyer,Married,Master,Rural,Home,31441,1499,3,No,Annually,0,High,Negative,High,Early
1208,23,Male,High,Business Owner,Divorced,High School,Suburban,Health,23889,1829,6,Yes,Monthly,2,Low,Positive,Medium,Late
1209,38,Female,Low,Lawyer,Divorced,High School,Rural,Auto,37981,329,5,Yes,Monthly,0,Low,Negative,Medium,Late
1210,50,Female,Medium,Lawyer,Divorced,PhD,Urban,Auto,48022,266,7,Yes,Monthly,2,High,Positive,High,Early
1211,59,Female,Low,Artist,Married,High School,Urban,Home,75266,1626,9,Yes,Annually,4,High,Neutral,High,Late
1212,21,Female,Low,Doctor,Married,PhD,Suburban,Life,14000,1609,5,No,Annually,3,Medium,Neutral,Medium,On Time
1213,25,Male,Low,Doctor,Divorced,High School,Urban,Health,79539,870,2,No,Annually,2,High,Neutral,Low,Late
1214,65,Male,Low,Artist,Widowed,High School,Rural,Auto,37986,1302,3,Yes,Annually,0,Low,Neutral,High,On Time
1215,62,Female,Low,Business Owner,Divorced,Bachelor,Urban,Health,18473,1756,10,No,Annually,4,Medium,Positive,High,On Time
1216,22,Female,High,Lawyer,Married,High School,Urban,Health,31681,1581,2,No,Annually,4,Low,Negative,Medium,On Time
1217,65,Female,Low,Artist,Married,High School,Rural,Travel,65817,1855,3,No,Annually,0,Medium,Positive,Low,Late
1218,62,Female,High,Lawyer,Married,Bachelor,Urban,Health,54943,798,3,No,Annually,2,Medium,Negative,High,Early
1219,32,Male,Medium,Artist,Divorced,PhD,Suburban,Health,74676,859,5,Yes,Monthly,3,Low,Positive,High,On Time
